STATION,ELEMENT,YEAR,TIMEFUNCTION,MDFUNCTION,VALUE,FLAG_REPEAT,FLAG_INTERRUPTED,
0-203-0-11514,T,1775,AVG,AVG,10.7,,,
0-203-0-11514,T,1775,AVG,AVG,10.7,,,
0-203-0-11514,T,1775,AVG,AVG,10.7,,,
0-203-0-11514,T,1775,AVG,AVG,10.7,,,
0-203-0-11514,T,1775,AVG,MAX,27.0,,,
0-203-0-11514,T,1775,AVG,MAX,27.0,,,
0-203-0-11514,T,1775,AVG,MAX,27.0,,,
0-203-0-11514,T,1775,AVG,MAX,27.0,,,
0-203-0-11514,T,1775,AVG,MIN,-11.1,,,
0-203-0-11514,T,1775,AVG,MIN,-11.1,,,
0-203-0-11514,T,1775,AVG,MIN,-11.1,,,
0-203-0-11514,T,1775,AVG,MIN,-11.1,,,
0-203-0-11514,T,1775,07:00,AVG,8.3,,,
0-203-0-11514,T,1775,07:00,AVG,8.3,,,
0-203-0-11514,T,1775,07:00,AVG,8.3,,,
0-203-0-11514,T,1775,07:00,AVG,8.3,,,
0-203-0-11514,T,1775,07:00,MAX,24.2,,,
0-203-0-11514,T,1775,07:00,MAX,24.2,,,
0-203-0-11514,T,1775,07:00,MAX,24.2,,,
0-203-0-11514,T,1775,07:00,MAX,24.2,,,
0-203-0-11514,T,1775,07:00,MIN,-16.0,,,
0-203-0-11514,T,1775,07:00,MIN,-16.0,,,
0-203-0-11514,T,1775,07:00,MIN,-16.0,,,
0-203-0-11514,T,1775,07:00,MIN,-16.0,,,
0-203-0-11514,T,1775,14:00,AVG,13.0,,,
0-203-0-11514,T,1775,14:00,AVG,13.0,,,
0-203-0-11514,T,1775,14:00,AVG,13.0,,,
0-203-0-11514,T,1775,14:00,AVG,13.0,,,
0-203-0-11514,T,1775,14:00,MAX,30.9,,,
0-203-0-11514,T,1775,14:00,MAX,30.9,,,
0-203-0-11514,T,1775,14:00,MAX,30.9,,,
0-203-0-11514,T,1775,14:00,MAX,30.9,,,
0-203-0-11514,T,1775,14:00,MIN,-9.2,,,
0-203-0-11514,T,1775,14:00,MIN,-9.2,,,
0-203-0-11514,T,1775,14:00,MIN,-9.2,,,
0-203-0-11514,T,1775,14:00,MIN,-9.2,,,
0-203-0-11514,T,1775,21:00,AVG,10.7,,,
0-203-0-11514,T,1775,21:00,AVG,10.7,,,
0-203-0-11514,T,1775,21:00,AVG,10.7,,,
0-203-0-11514,T,1775,21:00,AVG,10.7,,,
0-203-0-11514,T,1775,21:00,MAX,27.5,,,
0-203-0-11514,T,1775,21:00,MAX,27.5,,,
0-203-0-11514,T,1775,21:00,MAX,27.5,,,
0-203-0-11514,T,1775,21:00,MAX,27.5,,,
0-203-0-11514,T,1775,21:00,MIN,-11.6,,,
0-203-0-11514,T,1775,21:00,MIN,-11.6,,,
0-203-0-11514,T,1775,21:00,MIN,-11.6,,,
0-203-0-11514,T,1775,21:00,MIN,-11.6,,,
0-203-0-11514,T,1776,AVG,AVG,8.8,,,
0-203-0-11514,T,1776,AVG,AVG,8.8,,,
0-203-0-11514,T,1776,AVG,AVG,8.8,,,
0-203-0-11514,T,1776,AVG,AVG,8.8,,,
0-203-0-11514,T,1776,AVG,MAX,25.7,,,
0-203-0-11514,T,1776,AVG,MAX,25.7,,,
0-203-0-11514,T,1776,AVG,MAX,25.7,,,
0-203-0-11514,T,1776,AVG,MAX,25.7,,,
0-203-0-11514,T,1776,AVG,MIN,-18.5,,,
0-203-0-11514,T,1776,AVG,MIN,-18.5,,,
0-203-0-11514,T,1776,AVG,MIN,-18.5,,,
0-203-0-11514,T,1776,AVG,MIN,-18.5,,,
0-203-0-11514,T,1776,07:00,AVG,6.1,,,
0-203-0-11514,T,1776,07:00,AVG,6.1,,,
0-203-0-11514,T,1776,07:00,AVG,6.1,,,
0-203-0-11514,T,1776,07:00,AVG,6.1,,,
0-203-0-11514,T,1776,07:00,MAX,23.0,,,
0-203-0-11514,T,1776,07:00,MAX,23.0,,,
0-203-0-11514,T,1776,07:00,MAX,23.0,,,
0-203-0-11514,T,1776,07:00,MAX,23.0,,,
0-203-0-11514,T,1776,07:00,MIN,-22.7,,,
0-203-0-11514,T,1776,07:00,MIN,-22.7,,,
0-203-0-11514,T,1776,07:00,MIN,-22.7,,,
0-203-0-11514,T,1776,07:00,MIN,-22.7,,,
0-203-0-11514,T,1776,14:00,AVG,11.2,,,
0-203-0-11514,T,1776,14:00,AVG,11.2,,,
0-203-0-11514,T,1776,14:00,AVG,11.2,,,
