STATION,ELEMENT,YEAR,TIMEFUNCTION,MDFUNCTION,VALUE,FLAG_REPEAT,FLAG_INTERRUPTED,
0-203-0-11514,TMA,1775,21:00,AVG,13.8,,,
0-203-0-11514,TMA,1775,21:00,AVG,13.8,,,
0-203-0-11514,TMA,1775,21:00,AVG,13.8,,,
0-203-0-11514,TMA,1775,21:00,AVG,13.8,,,
0-203-0-11514,TMA,1775,21:00,GE(25),47.0,,,
0-203-0-11514,TMA,1775,21:00,GE(25),47.0,,,
0-203-0-11514,TMA,1775,21:00,GE(25),47.0,,,
0-203-0-11514,TMA,1775,21:00,GE(25),47.0,,,
0-203-0-11514,TMA,1775,21:00,GE(30),6.0,,,
0-203-0-11514,TMA,1775,21:00,GE(30),6.0,,,
0-203-0-11514,TMA,1775,21:00,GE(30),6.0,,,
0-203-0-11514,TMA,1775,21:00,GE(30),6.0,,,
0-203-0-11514,TMA,1775,21:00,GE(34),0.0,,,
0-203-0-11514,TMA,1775,21:00,GE(34),0.0,,,
0-203-0-11514,TMA,1775,21:00,GE(34),0.0,,,
0-203-0-11514,TMA,1775,21:00,GE(34),0.0,,,
0-203-0-11514,TMA,1775,21:00,GE(35),0.0,,,
0-203-0-11514,TMA,1775,21:00,GE(35),0.0,,,
0-203-0-11514,TMA,1775,21:00,GE(35),0.0,,,
0-203-0-11514,TMA,1775,21:00,GE(35),0.0,,,
0-203-0-11514,TMA,1775,21:00,L(0),13.0,,,
0-203-0-11514,TMA,1775,21:00,L(0),13.0,,,
0-203-0-11514,TMA,1775,21:00,L(0),13.0,,,
0-203-0-11514,TMA,1775,21:00,L(0),13.0,,,
0-203-0-11514,TMA,1775,21:00,MAX,31.3,,,
0-203-0-11514,TMA,1775,21:00,MAX,31.3,,,
0-203-0-11514,TMA,1775,21:00,MAX,31.3,,,
0-203-0-11514,TMA,1775,21:00,MAX,31.3,,,
0-203-0-11514,TMA,1775,21:00,MIN,-8.7,,,
0-203-0-11514,TMA,1775,21:00,MIN,-8.7,,,
0-203-0-11514,TMA,1775,21:00,MIN,-8.7,,,
0-203-0-11514,TMA,1775,21:00,MIN,-8.7,,,
0-203-0-11514,TMA,1776,21:00,AVG,11.8,,,
0-203-0-11514,TMA,1776,21:00,AVG,11.8,,,
0-203-0-11514,TMA,1776,21:00,AVG,11.8,,,
0-203-0-11514,TMA,1776,21:00,AVG,11.8,,,
0-203-0-11514,TMA,1776,21:00,GE(25),31.0,,,
0-203-0-11514,TMA,1776,21:00,GE(25),31.0,,,
0-203-0-11514,TMA,1776,21:00,GE(25),31.0,,,
0-203-0-11514,TMA,1776,21:00,GE(25),31.0,,,
0-203-0-11514,TMA,1776,21:00,GE(30),2.0,,,
0-203-0-11514,TMA,1776,21:00,GE(30),2.0,,,
0-203-0-11514,TMA,1776,21:00,GE(30),2.0,,,
0-203-0-11514,TMA,1776,21:00,GE(30),2.0,,,
0-203-0-11514,TMA,1776,21:00,GE(34),0.0,,,
0-203-0-11514,TMA,1776,21:00,GE(34),0.0,,,
0-203-0-11514,TMA,1776,21:00,GE(34),0.0,,,
0-203-0-11514,TMA,1776,21:00,GE(34),0.0,,,
0-203-0-11514,TMA,1776,21:00,GE(35),0.0,,,
0-203-0-11514,TMA,1776,21:00,GE(35),0.0,,,
0-203-0-11514,TMA,1776,21:00,GE(35),0.0,,,
0-203-0-11514,TMA,1776,21:00,GE(35),0.0,,,
0-203-0-11514,TMA,1776,21:00,L(0),40.0,,,
0-203-0-11514,TMA,1776,21:00,L(0),40.0,,,
0-203-0-11514,TMA,1776,21:00,L(0),40.0,,,
0-203-0-11514,TMA,1776,21:00,L(0),40.0,,,
0-203-0-11514,TMA,1776,21:00,MAX,32.4,,,
0-203-0-11514,TMA,1776,21:00,MAX,32.4,,,
0-203-0-11514,TMA,1776,21:00,MAX,32.4,,,
0-203-0-11514,TMA,1776,21:00,MAX,32.4,,,
0-203-0-11514,TMA,1776,21:00,MIN,-15.7,,,
0-203-0-11514,TMA,1776,21:00,MIN,-15.7,,,
0-203-0-11514,TMA,1776,21:00,MIN,-15.7,,,
0-203-0-11514,TMA,1776,21:00,MIN,-15.7,,,
0-203-0-11514,TMA,1777,21:00,AVG,11.9,,,
0-203-0-11514,TMA,1777,21:00,AVG,11.9,,,
0-203-0-11514,TMA,1777,21:00,AVG,11.9,,,
0-203-0-11514,TMA,1777,21:00,AVG,11.9,,,
0-203-0-11514,TMA,1777,21:00,GE(25),18.0,,,
0-203-0-11514,TMA,1777,21:00,GE(25),18.0,,,
0-203-0-11514,TMA,1777,21:00,GE(25),18.0,,,
0-203-0-11514,TMA,1777,21:00,GE(25),18.0,,,
0-203-0-11514,TMA,1777,21:00,GE(30),0.0,,,
0-203-0-11514,TMA,1777,21:00,GE(30),0.0,,,
0-203-0-11514,TMA,1777,21:00,GE(30),0.0,,,
0-203-0-11514,TMA,1777,21:00,GE(30),0.0,,,
0-203-0-11514,TMA,1777,21:00,GE(34),0.0,,,
0-203-0-11514,TMA,1777,21:00,GE(34),0.0,,,
0-203-0-11514,TMA,1777,21:00,GE(34),0.0,,,
0-203-0-11514,TMA,1777,21:00,GE(34),0.0,,,
0-203-0-11514,TMA,1777,21:00,GE(35),0.0,,,
0-203-0-11514,TMA,1777,21:00,GE(35),0.0,,,
0-203-0-11514,TMA,1777,21:00,GE(35),0.0,,,
0-203-0-11514,TMA,1777,21:00,GE(35),0.0,,,
0-203-0-11514,TMA,1777,21:00,L(0),35.0,,,
0-203-0-11514,TMA,1777,21:00,L(0),35.0,,,
0-203-0-11514,TMA,1777,21:00,L(0),35.0,,,
0-203-0-11514,TMA,1777,21:00,L(0),35.0,,,
0-203-0-11514,TMA,1777,21:00,MAX,29.3,,,
0-203-0-11514,TMA,1777,21:00,MAX,29.3,,,
0-203-0-11514,TMA,1777,21:00,MAX,29.3,,,
0-203-0-11514,TMA,1777,21:00,MAX,29.3,,,
0-203-0-11514,TMA,1777,21:00,MIN,-5.2,,,
0-203-0-11514,TMA,1777,21:00,MIN,-5.2,,,
