STATION,ELEMENT,YEAR,TIMEFUNCTION,MDFUNCTION,VALUE,FLAG_REPEAT,FLAG_INTERRUPTED,
0-203-0-11514,TMI,1775,21:00,AVG,7.4,,,
0-203-0-11514,TMI,1775,21:00,AVG,7.4,,,
0-203-0-11514,TMI,1775,21:00,AVG,7.4,,,
0-203-0-11514,TMI,1775,21:00,AVG,7.4,,,
0-203-0-11514,TMI,1775,21:00,GE(20),9.0,,,
0-203-0-11514,TMI,1775,21:00,GE(20),9.0,,,
0-203-0-11514,TMI,1775,21:00,GE(20),9.0,,,
0-203-0-11514,TMI,1775,21:00,GE(20),9.0,,,
0-203-0-11514,TMI,1775,21:00,L(0),48.0,,,
0-203-0-11514,TMI,1775,21:00,L(0),48.0,,,
0-203-0-11514,TMI,1775,21:00,L(0),48.0,,,
0-203-0-11514,TMI,1775,21:00,L(0),48.0,,,
0-203-0-11514,TMI,1775,21:00,L(-12),2.0,,,
0-203-0-11514,TMI,1775,21:00,L(-12),2.0,,,
0-203-0-11514,TMI,1775,21:00,L(-12),2.0,,,
0-203-0-11514,TMI,1775,21:00,L(-12),2.0,,,
0-203-0-11514,TMI,1775,21:00,MAX,22.4,,,
0-203-0-11514,TMI,1775,21:00,MAX,22.4,,,
0-203-0-11514,TMI,1775,21:00,MAX,22.4,,,
0-203-0-11514,TMI,1775,21:00,MAX,22.4,,,
0-203-0-11514,TMI,1775,21:00,MIN,-16.0,,,
0-203-0-11514,TMI,1775,21:00,MIN,-16.0,,,
0-203-0-11514,TMI,1775,21:00,MIN,-16.0,,,
0-203-0-11514,TMI,1775,21:00,MIN,-16.0,,,
0-203-0-11514,TMI,1776,21:00,AVG,5.3,,,
0-203-0-11514,TMI,1776,21:00,AVG,5.3,,,
0-203-0-11514,TMI,1776,21:00,AVG,5.3,,,
0-203-0-11514,TMI,1776,21:00,AVG,5.3,,,
0-203-0-11514,TMI,1776,21:00,GE(20),2.0,,,
0-203-0-11514,TMI,1776,21:00,GE(20),2.0,,,
0-203-0-11514,TMI,1776,21:00,GE(20),2.0,,,
0-203-0-11514,TMI,1776,21:00,GE(20),2.0,,,
0-203-0-11514,TMI,1776,21:00,L(0),77.0,,,
0-203-0-11514,TMI,1776,21:00,L(0),77.0,,,
0-203-0-11514,TMI,1776,21:00,L(0),77.0,,,
0-203-0-11514,TMI,1776,21:00,L(0),77.0,,,
0-203-0-11514,TMI,1776,21:00,L(-12),14.0,,,
0-203-0-11514,TMI,1776,21:00,L(-12),14.0,,,
0-203-0-11514,TMI,1776,21:00,L(-12),14.0,,,
0-203-0-11514,TMI,1776,21:00,L(-12),14.0,,,
0-203-0-11514,TMI,1776,21:00,MAX,21.2,,,
0-203-0-11514,TMI,1776,21:00,MAX,21.2,,,
0-203-0-11514,TMI,1776,21:00,MAX,21.2,,,
0-203-0-11514,TMI,1776,21:00,MAX,21.2,,,
