,STATION,ELEMENT,YEAR,TIMEFUNCTION,MDFUNCTION,VALUE,FLAG_REPEAT,FLAG_INTERRUPTED,Unnamed: 8
0,0-203-0-11514,T,1775,AVG,AVG,10.7,,,
4,0-203-0-11514,T,1775,AVG,MAX,27.0,,,
8,0-203-0-11514,T,1775,AVG,MIN,-11.1,,,
12,0-203-0-11514,T,1775,07:00,AVG,8.3,,,
16,0-203-0-11514,T,1775,07:00,MAX,24.2,,,
20,0-203-0-11514,T,1775,07:00,MIN,-16.0,,,
24,0-203-0-11514,T,1775,14:00,AVG,13.0,,,
28,0-203-0-11514,T,1775,14:00,MAX,30.9,,,
32,0-203-0-11514,T,1775,14:00,MIN,-9.2,,,
36,0-203-0-11514,T,1775,21:00,AVG,10.7,,,
40,0-203-0-11514,T,1775,21:00,MAX,27.5,,,
44,0-203-0-11514,T,1775,21:00,MIN,-11.6,,,
48,0-203-0-11514,T,1776,AVG,AVG,8.8,,,
52,0-203-0-11514,T,1776,AVG,MAX,25.7,,,
56,0-203-0-11514,T,1776,AVG,MIN,-18.5,,,
60,0-203-0-11514,T,1776,07:00,AVG,6.1,,,
64,0-203-0-11514,T,1776,07:00,MAX,23.0,,,
68,0-203-0-11514,T,1776,07:00,MIN,-22.7,,,
72,0-203-0-11514,T,1776,14:00,AVG,11.2,,,
76,0-203-0-11514,T,1776,14:00,MAX,31.5,,,
80,0-203-0-11514,T,1776,14:00,MIN,-16.3,,,
84,0-203-0-11514,T,1776,21:00,AVG,8.8,,,
88,0-203-0-11514,T,1776,21:00,MAX,26.5,,,
92,0-203-0-11514,T,1776,21:00,MIN,-19.4,,,
96,0-203-0-11514,T,1777,AVG,AVG,8.9,,,
100,0-203-0-11514,T,1777,AVG,MAX,23.1,,,
104,0-203-0-11514,T,1777,AVG,MIN,-7.4,,,
108,0-203-0-11514,T,1777,07:00,AVG,6.3,,,
112,0-203-0-11514,T,1777,07:00,MAX,20.8,,,
116,0-203-0-11514,T,1777,07:00,MIN,-12.2,,,
120,0-203-0-11514,T,1777,14:00,AVG,11.3,,,
124,0-203-0-11514,T,1777,14:00,MAX,28.5,,,
128,0-203-0-11514,T,1777,14:00,MIN,-6.8,,,
132,0-203-0-11514,T,1777,21:00,AVG,9.0,,,
136,0-203-0-11514,T,1777,21:00,MAX,24.9,,,
140,0-203-0-11514,T,1777,21:00,MIN,-9.8,,,
144,0-203-0-11514,T,1778,AVG,AVG,10.2,,,
148,0-203-0-11514,T,1778,AVG,MAX,27.2,,,
152,0-203-0-11514,T,1778,AVG,MIN,-7.1,,,
156,0-203-0-11514,T,1778,07:00,AVG,7.5,,,
160,0-203-0-11514,T,1778,07:00,MAX,23.0,*,,
164,0-203-0-11514,T,1778,07:00,MIN,-9.8,,,
168,0-203-0-11514,T,1778,14:00,AVG,12.6,,,
172,0-203-0-11514,T,1778,14:00,MAX,31.1,,,
