,STATION,ELEMENT,YEAR,TIMEFUNCTION,MDFUNCTION,VALUE,FLAG_REPEAT,FLAG_INTERRUPTED,Unnamed: 8
0,0-203-0-11514,TMI,1775,21:00,AVG,7.4,,,
4,0-203-0-11514,TMI,1775,21:00,GE(20),9.0,,,
8,0-203-0-11514,TMI,1775,21:00,L(0),48.0,,,
12,0-203-0-11514,TMI,1775,21:00,L(-12),2.0,,,
16,0-203-0-11514,TMI,1775,21:00,MAX,22.4,,,
20,0-203-0-11514,TMI,1775,21:00,MIN,-16.0,,,
24,0-203-0-11514,TMI,1776,21:00,AVG,5.3,,,
28,0-203-0-11514,TMI,1776,21:00,GE(20),2.0,,,
32,0-203-0-11514,TMI,1776,21:00,L(0),77.0,,,
36,0-203-0-11514,TMI,1776,21:00,L(-12),14.0,,,
40,0-203-0-11514,TMI,1776,21:00,MAX,21.2,,,
44,0-203-0-11514,TMI,1776,21:00,MIN,-22.7,,,
48,0-203-0-11514,TMI,1777,21:00,AVG,5.6,,,
52,0-203-0-11514,TMI,1777,21:00,GE(20),0.0,,,
56,0-203-0-11514,TMI,1777,21:00,L(0),82.0,,,
60,0-203-0-11514,TMI,1777,21:00,L(-12),1.0,,,
64,0-203-0-11514,TMI,1777,21:00,MAX,17.9,,,
68,0-203-0-11514,TMI,1777,21:00,MIN,-12.4,,,
72,0-203-0-11514,TMI,1778,21:00,AVG,6.6,,,
76,0-203-0-11514,TMI,1778,21:00,GE(20),7.0,,,
80,0-203-0-11514,TMI,1778,21:00,L(0),72.0,,,
84,0-203-0-11514,TMI,1778,21:00,L(-12),0.0,,,
88,0-203-0-11514,TMI,1778,21:00,MAX,21.7,,,
92,0-203-0-11514,TMI,1778,21:00,MIN,-9.9,,,
96,0-203-0-11514,TMI,1779,21:00,AVG,6.8,,,
100,0-203-0-11514,TMI,1779,21:00,GE(20),1.0,,,
104,0-203-0-11514,TMI,1779,21:00,L(0),72.0,,,
108,0-203-0-11514,TMI,1779,21:00,L(-12),1.0,,,
112,0-203-0-11514,TMI,1779,21:00,MAX,20.5,,,
116,0-203-0-11514,TMI,1779,21:00,MIN,-13.0,,,
120,0-203-0-11514,TMI,1780,21:00,AVG,5.3,,,
124,0-203-0-11514,TMI,1780,21:00,GE(20),1.0,,,
128,0-203-0-11514,TMI,1780,21:00,L(0),89.0,,,
